datetime,kwh,athome
2018-01-03 00:10:48.758409+00:00,0.36,2
2018-01-03 00:13:48.967696+00:00,0.24,2
2018-01-03 00:15:49.064487+00:00,0.3,2
2018-01-03 00:16:49.119650+00:00,0.18,2
2018-01-03 00:19:49.307527+00:00,0.24,2
2018-01-03 00:27:49.789339+00:00,0.18,1
2018-01-03 00:28:49.849920+00:00,0.12,1
2018-01-03 00:29:49.915565+00:00,0.24,1
2018-01-03 00:30:50.026233+00:00,0.3,1
2018-01-03 00:31:50.032134+00:00,0.24,1
2018-01-03 00:37:50.390022+00:00,0.18,1
2018-01-03 00:39:50.509893+00:00,0.24,1
2018-01-03 00:40:50.571000+00:00,0.18,1
2018-01-03 00:41:50.628077+00:00,0.24,1
2018-01-03 00:43:50.753801+00:00,0.3,1
2018-01-03 00:44:50.813049+00:00,0.24,1
2018-01-03 00:46:50.930407+00:00,0.18,1
2018-01-03 00:49:51.113200+00:00,0.24,1
2018-01-03 00:50:51.177356+00:00,0.3,1
2018-01-03 00:51:51.548783+00:00,0.24,1
2018-01-03 00:57:51.600004+00:00,0.18,1
2018-01-03 00:59:51.784003+00:00,0.24,1
2018-01-03 01:04:52.089275+00:00,0.3,2
2018-01-03 01:05:52.096708+00:00,0.24,2
2018-01-03 01:07:52.205177+00:00,0.18,2
2018-01-03 01:09:52.324383+00:00,0.24,2
2018-01-03 01:17:52.809176+00:00,0.18,2
2018-01-03 01:19:52.929671+00:00,0.24,2
2018-01-03 01:20:52.990828+00:00,0.3,2
2018-01-03 01:21:53.053906+00:00,0.24,2
2018-01-03 01:27:53.410550+00:00,0.18,2
2018-01-03 01:29:53.535123+00:00,0.24,2
2018-01-03 01:31:53.651892+00:00,0.3,2
2018-01-03 01:32:53.716856+00:00,0.24,2
2018-01-03 01:37:54.019543+00:00,0.18,1
2018-01-03 01:39:54.137836+00:00,0.24,1
2018-01-03 01:46:54.559978+00:00,0.3,1
2018-01-03 01:47:54.620567+00:00,0.12,1
2018-01-03 01:48:54.684528+00:00,0.18,1
2018-01-03 01:49:54.863422+00:00,0.24,1
2018-01-03 01:50:54.805058+00:00,0.3,1
2018-01-03 01:51:54.865707+00:00,0.24,1
2018-01-03 01:57:55.346700+00:00,0.18,1
2018-01-03 01:59:55.349358+00:00,0.24,1
2018-01-03 02:00:55.427700+00:00,0.3,1
2018-01-03 02:01:55.471225+00:00,0.42,1
2018-01-03 02:02:55.529988+00:00,0.36,1
2018-01-03 02:06:04.200560+00:00,0.0,1
2018-01-03 02:07:04.260917+00:00,0.36,1
2018-01-03 02:08:04.358685+00:00,0.3,1
2018-01-03 02:09:04.379547+00:00,0.24,1
2018-01-03 02:10:04.448010+00:00,0.36,1
2018-01-03 02:11:04.508967+00:00,0.39,1
2018-01-03 02:12:04.557270+00:00,0.36,1
2018-01-03 02:15:04.741981+00:00,0.3,2
2018-01-03 02:16:04.799394+00:00,0.36,2
2018-01-03 02:18:04.927705+00:00,0.3,2
2018-01-03 02:19:05.010766+00:00,0.24,2
2018-01-03 02:20:05.044785+00:00,0.36,2
2018-01-03 02:24:44.365915+00:00,0.0,2
2018-01-03 02:25:44.428852+00:00,0.36,2
2018-01-03 02:27:44.548886+00:00,0.3,2
2018-01-03 02:30:44.730807+00:00,0.36,2
2018-01-03 02:33:44.909102+00:00,0.3,2
2018-01-03 02:34:44.972961+00:00,0.36,2
2018-01-03 02:36:24.132749+00:00,0.0,2
2018-01-03 02:37:24.095063+00:00,0.36,2
2018-01-03 02:38:24.150639+00:00,0.3,2
2018-01-03 02:39:24.211534+00:00,0.27,2
2018-01-03 02:40:24.272145+00:00,0.39,2
2018-01-03 02:41:24.327682+00:00,0.3,2
2018-01-03 02:42:24.393521+00:00,0.36,2
2018-01-03 02:45:24.573366+00:00,0.3,2
2018-01-03 02:46:24.634097+00:00,0.36,1
2018-01-03 02:48:24.756970+00:00,0.3,1
2018-01-03 02:50:24.877627+00:00,0.36,1
2018-01-03 02:51:24.941114+00:00,0.3,1
2018-01-03 02:52:25.001146+00:00,0.24,1
2018-01-03 02:57:25.302301+00:00,0.3,2
2018-01-03 02:58:25.362922+00:00,0.18,2
2018-01-03 03:00:25.481764+00:00,0.24,2
2018-01-03 03:01:25.545141+00:00,0.3,2
2018-01-03 03:02:25.610715+00:00,0.24,2
2018-01-03 03:06:04.424414+00:00,0.0,2
2018-01-03 03:07:04.431255+00:00,0.24,2
2018-01-03 03:09:04.557979+00:00,0.18,2
2018-01-03 03:10:04.615463+00:00,0.24,2
2018-01-03 03:12:04.735602+00:00,0.3,2
2018-01-03 03:13:04.797752+00:00,0.24,2
2018-01-03 03:19:05.157313+00:00,0.18,2
2018-01-03 03:20:05.220425+00:00,0.24,2
2018-01-03 03:21:05.284712+00:00,0.3,2
2018-01-03 03:22:05.397337+00:00,0.24,2
2018-01-03 03:24:05.461580+00:00,0.3,2
2018-01-03 03:25:05.525535+00:00,0.24,2
2018-01-03 03:29:05.763060+00:00,0.18,2
2018-01-03 03:30:05.822655+00:00,0.24,2
2018-01-03 03:32:05.946846+00:00,0.33,2
2018-01-03 03:33:06.005648+00:00,0.24,2
2018-01-03 03:39:06.365416+00:00,0.18,2
2018-01-03 03:40:06.432938+00:00,0.24,2
2018-01-03 03:45:06.732387+00:00,0.3,2
2018-01-03 03:46:06.992416+00:00,0.24,2
2018-01-03 03:49:06.968322+00:00,0.18,2
2018-01-03 03:50:07.038779+00:00,0.24,2
2018-01-03 03:53:07.214019+00:00,0.3,2
2018-01-03 03:54:07.273898+00:00,0.24,2
2018-01-03 03:59:07.580746+00:00,0.18,2
2018-01-03 04:00:07.639494+00:00,0.24,2
2018-01-03 04:02:07.756102+00:00,0.3,2
2018-01-03 04:03:07.825401+00:00,0.24,1
2018-01-03 04:09:08.179242+00:00,0.18,1
2018-01-03 04:10:08.397393+00:00,0.24,1
2018-01-03 04:12:08.362992+00:00,0.3,1
2018-01-03 04:13:08.419110+00:00,0.24,1
2018-01-03 04:19:08.919738+00:00,0.18,1
2018-01-03 04:20:08.981193+00:00,0.24,1
